[12/18/22 07:52AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 07:59AM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 08:00AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 08:29AM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 09:28AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:05PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:28PM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:28PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:29PM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:30PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:31PM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:33PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:34PM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:36PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:36PM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 01:45PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 02:10PM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 02:11PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/20/22 02:24PM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/21/22 06:16AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/21/22 06:22AM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/21/22 06:22AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/21/22 06:25AM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/21/22 06:26AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/21/22 06:26AM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/21/22 10:10AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/21/22 10:24AM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/26/22 01:08AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/26/22 01:12AM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/26/22 01:12AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/26/22 01:13AM] Logout with password grimLogout from host 127.0.0.1, serial number: null000, mac address:null000	
