[11/15/22 09:34AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 09:56AM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 11:21AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 11:21AM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 11:22AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 11:22AM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 11:22AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 12:01PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:09PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:14PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:14PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:48PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:49PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:50PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:53PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:53PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:57PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:58PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:00PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:01PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:06PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:09PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:10PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:11PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:11PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:14PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:15PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:16PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:17PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:17PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:22PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:23PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:43PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:43PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 10:43PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 07:51AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 07:52AM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 07:52AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 07:52AM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 08:05AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 08:33AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/18/22 09:36AM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
