[3/13/22 02:19PM] Login from host 127.0.0.1, serial number: 00-FF-4F-27-9B-EF, mac address:5CD1482K2P20220302041459.000000-480	
[3/13/22 02:24PM] Logout with password penisLogout from host 127.0.0.1, serial number: 00-FF-4F-27-9B-EF, mac address:5CD1482K2P20220302041459.000000-480	
[3/16/22 04:31PM] Login from host 127.0.0.1, serial number: 00-FF-4F-27-9B-EF, mac address:5CD1482K2P20220302041459.000000-480	
[3/16/22 04:31PM] Logout with password penisLogout from host 127.0.0.1, serial number: 00-FF-4F-27-9B-EF, mac address:5CD1482K2P20220302041459.000000-480	
[3/18/22 04:50PM] Login from host 127.0.0.1, serial number: 00-FF-4F-27-9B-EF, mac address:5CD1482K2P20220302041459.000000-480	
[3/18/22 04:58PM] Logout with password penisLogout from host 127.0.0.1, serial number: 00-FF-4F-27-9B-EF, mac address:5CD1482K2P20220302041459.000000-480	
[3/18/22 04:59PM] Login from host 127.0.0.1, serial number: 00-FF-4F-27-9B-EF, mac address:5CD1482K2P20220302041459.000000-480	
[3/18/22 05:01PM] Logout with password penisLogout from host 127.0.0.1, serial number: 00-FF-4F-27-9B-EF, mac address:5CD1482K2P20220302041459.000000-480	
[3/28/22 06:03PM] Login from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:08PM] Logout with password penisLogout from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:08PM] Login from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:08PM] Logout with password penisLogout from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:09PM] Login from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:09PM] Logout with password penisLogout from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:09PM] Login from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:09PM] Logout with password penisLogout from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:09PM] Login from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:14PM] Logout with password penisLogout from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:15PM] Login from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:30PM] Logout with password penisLogout from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:31PM] Login from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 06:40PM] Login from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[3/28/22 07:00PM] Logout with password penisLogout from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[4/3/22 07:51PM] Login from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
[4/3/22 07:51PM] Logout with password penisLogout from host 127.0.0.1, serial number: 12-5B-AD-CB-DD-BB, mac address:2MO922475420210406004659.000000-420	
